match_id,player1,player2,winner,result_date,start_raw,score,sets_player1,sets_player2,odds1_avg,odds2_avg,retired,source_url
3217759,Tirante,Carreno-Busta,Carreno-Busta,2026-05-29,"today , 11:00","6-7(0), 5-7, 6-3, 4-6",1,3,1.4,2.92,false,https://www.tennisexplorer.com/match-detail/?id=3217759
3217757,Borges,Rublev,Rublev,2026-05-29,"today , 11:00","5-7, 6-7(2), 6-7(2)",0,3,3.27,1.34,false,https://www.tennisexplorer.com/match-detail/?id=3217757
3217879,Michelsen,Jodar,Jodar,2026-05-29,"today , 12:30","6-7(2), 7-6(5), 6-4, 3-6, 3-6",2,3,4.56,1.2,false,https://www.tennisexplorer.com/match-detail/?id=3217879
3217835,De Minaur,Mensik,Mensik,2026-05-29,"today , 14:30","6-0, 2-6, 2-6, 3-6",1,3,1.24,4.02,false,https://www.tennisexplorer.com/match-detail/?id=3217835
3217613,Khachanov,De Jong,De Jong,2026-05-29,"today , 14:30","5-7, 7-5, 2-6, 7-6(2), 2-6",2,3,1.35,3.17,false,https://www.tennisexplorer.com/match-detail/?id=3217613
3217979,Fonseca,Djokovic,Fonseca,2026-05-29,"today , 15:30","4-6, 4-6, 6-3, 7-5, 7-5",3,2,2.66,1.47,false,https://www.tennisexplorer.com/match-detail/?id=3217979
3217991,Ruud,Paul,Ruud,2026-05-29,"today , 16:00","4-6, 6-7(4), 6-4, 7-6(4), 7-5",3,2,1.34,3.26,false,https://www.tennisexplorer.com/match-detail/?id=3217991
3217989,Halys,Zverev,Zverev,2026-05-29,"today , 20:15","4-6, 3-6, 7-5, 2-6",1,3,10.0,1.06,false,https://www.tennisexplorer.com/match-detail/?id=3217989
3218223,Cobolli,Tien,Cobolli,2026-05-30,30.05. 11:00,"6-2, 6-2, 6-3",3,0,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218275,Cerundolo Francisco,Svajda,Svajda,2026-05-30,30.05. 11:00,"3-6, 4-6, 6-3, 6-4, 3-6",2,3,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218331,Faria,Tiafoe,Tiafoe,2026-05-30,30.05. 15:00,"6-4, 7-6(7), 6-7(4), 1-6, 2-6",2,3,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218333,Cerundolo Juan,Landaluce,Cerundolo Juan,2026-05-30,30.05. 11:00,"6-4, 6-7(9), 7-6(4), 6-7(7), 7-6(8)",3,2,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218405,Kouame,Tabilo,Tabilo,2026-05-30,30.05. 13:00,"6-4, 3-6, 4-6, 6-7(9)",1,3,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218453,Berrettini,Comesana,Berrettini,2026-05-30,30.05. 14:00,"7-6(3), 5-7, 6-7(4), 6-4, 7-6(13)",3,2,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218455,Auger Aliassime,Nakashima,Auger Aliassime,2026-05-30,30.05. 20:15,"5-7, 6-1, 7-6(4), 7-6(1)",3,1,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
3218457,Arnaldi,Collignon,Arnaldi,2026-05-30,30.05. 21:30,"6-4, 6-7(7), 5-7, 6-4, 7-6(4)",3,2,,,false,https://www.bbc.co.uk/sport/tennis/french-open/mens-singles/scores-and-schedule/2026-05-30
