descripcion,model,target,test_accuracy,test_brier_score,test_log_loss,test_positive_rate,test_roc_auc,test_rows,train_accuracy,train_brier_score,train_log_loss,train_positive_rate,train_roc_auc,train_rows
J1 gana partido,regresion_logistica_grand_slam,gana_jugador_1,0.7777777777777778,0.15164085097731847,0.4626720088248518,0.5555555555555556,0.8607142857142858,126,0.7140748031496063,0.18273384563604614,0.5391598173207636,0.49753937007874016,0.7989984799913972,2032
J1 gana 3-0,regresion_logistica_grand_slam,jugador_1_gana_3_0,0.8015873015873016,0.1347689232193924,0.41776460209212096,0.20634920634920634,0.7961538461538462,126,0.8070866141732284,0.13698486733463425,0.4274327478749091,0.21210629921259844,0.7806562313867058,2032
J2 gana 3-0,regresion_logistica_grand_slam,jugador_2_gana_3_0,0.7698412698412699,0.16562884548830753,0.49490633574410253,0.2777777777777778,0.8075353218210362,126,0.8085629921259843,0.13684491688780925,0.425557753088571,0.21358267716535434,0.7841253179377448,2032
J1 gana -1.5 sets,regresion_logistica_grand_slam,jugador_1_minus_1_5_sets,0.7619047619047619,0.169158373537016,0.5048237762664296,0.3888888888888889,0.8152663662867745,126,0.7249015748031497,0.17734432282634735,0.5262773985931125,0.3656496062992126,0.7861593126224906,2032
J2 gana -1.5 sets,regresion_logistica_grand_slam,jugador_2_minus_1_5_sets,0.7619047619047619,0.16500734342143444,0.49362296728737853,0.38095238095238093,0.8234508547008547,126,0.7249015748031497,0.17897454243941097,0.5321062748884302,0.38927165354330706,0.7907268617229897,2032
J1 gana al menos 2 sets,regresion_logistica_grand_slam,jugador_1_gana_al_menos_2_sets,0.746031746031746,0.1848948697178858,0.5522717630767644,0.5634920634920635,0.7836107554417413,126,0.7057086614173228,0.18780489696429717,0.5542168123578529,0.5718503937007874,0.7779126357647337,2032
J2 gana al menos 2 sets,regresion_logistica_grand_slam,jugador_2_gana_al_menos_2_sets,0.746031746031746,0.17244188789213474,0.5158172239895474,0.5555555555555556,0.8193877551020409,126,0.71998031496063,0.18337908331449093,0.5444366332215616,0.5954724409448819,0.7832297761959341,2032
Over 3.5 sets,regresion_logistica_grand_slam,over_3_5_sets,0.4444444444444444,0.26266561767907726,0.7198002457131861,0.4603174603174603,0.4997464503042597,126,0.5580708661417323,0.2458109863037716,0.6847603644207838,0.5354330708661418,0.5608399411141575,2032
