category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
grand_slam,France,men,,,3218747,https://www.tennisexplorer.com/match-detail/?id=3218747,,,De Jong,Zverev,"61,723,000 €",4R,4R,,2,https://www.tennisexplorer.com/french-open/2026/atp-men/,31.05. 11:00,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3218741,https://www.tennisexplorer.com/match-detail/?id=3218741,1.61,2.27,Ruud,Fonseca,"61,723,000 €",4R,4R,15,28,https://www.tennisexplorer.com/french-open/2026/atp-men/,31.05. 20:15,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,2,0,3218727,https://www.tennisexplorer.com/match-detail/?id=3218727,2.0,1.78,Mensik,Rublev,"61,723,000 €",4R,4R,26,11,https://www.tennisexplorer.com/french-open/2026/atp-men/,31.05. 16:00,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3218631,https://www.tennisexplorer.com/match-detail/?id=3218631,1.2,4.5,Jodar,Carreno-Busta,"61,723,000 €",4R,4R,27,,https://www.tennisexplorer.com/french-open/2026/atp-men/,31.05. 11:00,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,0,3218889,https://www.tennisexplorer.com/match-detail/?id=3218889,1.13,6.03,Cobolli,Svajda,"61,723,000 €",4R,4R,10,,https://www.tennisexplorer.com/french-open/2026/atp-men/,01.06. 11:00,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3219369,https://www.tennisexplorer.com/match-detail/?id=3219369,2.28,1.62,Cerundolo,Berrettini,"61,723,000 €",4R,4R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,01.06. 14:00,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,0,3219787,https://www.tennisexplorer.com/match-detail/?id=3219787,1.55,2.43,Auger Aliassime,Tabilo,"61,723,000 €",4R,4R,4,,https://www.tennisexplorer.com/french-open/2026/atp-men/,01.06. 15:30,upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,1,3219783,https://www.tennisexplorer.com/match-detail/?id=3219783,1.87,1.93,Tiafoe,Arnaldi,"61,723,000 €",4R,4R,19,,https://www.tennisexplorer.com/french-open/2026/atp-men/,01.06. 16:00,upcoming,clay,atp-men,French Open,2026
