h2h_player1_wins,h2h_player2_wins,homeaway_avg_odds1,homeaway_avg_odds2,market_odds_check,match_id,match_url,player1,player2,set_odds_handicap_player1,set_odds_handicap_player2,set_odds_player1_wins_2_0,set_odds_player1_wins_set,set_odds_player2_wins_2_0,set_odds_player2_wins_set,set_odds_table_player1_minus_1_5,set_odds_table_player1_plus_1_5,set_odds_table_player2_minus_1_5,set_odds_table_player2_plus_1_5,set_odds_validation,source_lines_sample,title
,,2.56,1.5,ok,3199554,https://www.tennisexplorer.com/match-detail/?id=3199554,Khachanov,Prizmic,Khachanov Karen,Prizmic Dino,4.29,1.58,2.23,1.19,4.21,1.58,1.19,2.26,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Khachanov - Prizmic"", ""Today"", "", 11:00,"", ""Rome"", "", round of 16, clay"", ""Khachanov Karen"", ""Prizmic Dino"", ""15."", ""Singles ranking"", ""79."", ""21. 5. 1996"", ""Birthdate"", ""5. 8. 2005"", ""198 cm"", ""Height"", ""-"", ""87 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Khachanov"", ""Career - Prizmic"", ""Surface"", ""Khachanov Karen"", ""Prizmic Dino"", ""Indoors"", ""1/1"", ""-"", ""Clay"", ""3/3"", ""19/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""8/7"", ""5/3"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""476/324"", ""116/82"", ""189/128"", ""127/84"", ""37/23"", ""7/7"", ""2026"", ""12/11"", ""3/3"", ""8/7"", ""1/1"", ""-"", ""-"", ""2025"", ""34/24"", ""9/6"", ""13/11"", ""2/4"", ""10/3"", ""-"", ""2024"", ""37/23"", ""8/4"", ""14/13"", ""14/3"", ""1/3"", ""-"", ""2023"", ""34/18"", ""10/5"", ""18/10"", ""6/3"", ""-"", ""-"", ""2022"", ""36/25"", ""9/7"", ""17/11""]",Khachanov - Prizmic
1,2,2.54,1.51,ok,3199552,https://www.tennisexplorer.com/match-detail/?id=3199552,Musetti,Ruud,Musetti Lorenzo,Ruud Casper,4.16,1.58,2.24,1.2,4.11,1.58,1.2,2.25,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Musetti - Ruud"", ""Today"", "", 11:00,"", ""Rome"", "", round of 16, clay"", ""Musetti Lorenzo"", ""Ruud Casper"", ""10."", ""Singles ranking"", ""25."", ""3. 3. 2002"", ""Birthdate"", ""22. 12. 1998"", ""185 cm"", ""Height"", ""183 cm"", ""75 kg"", ""Weight"", ""77 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""beIN Sports 1 (Aus), Sky Sports Tennis (Gbr/Irl), Sky Sports+ (UK/Irl)"", ""W/L - 2026"", ""Career - Musetti"", ""Career - Ruud"", ""Surface"", ""Musetti Lorenzo"", ""Ruud Casper"", ""Indoors"", ""-"", ""-"", ""Clay"", ""6/3"", ""7/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/3"", ""9/7"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""298/197"", ""152/77"", ""75/60"", ""50/43"", ""19/12"", ""2/5"", ""2026"", ""13/6"", ""6/3"", ""7/3"", ""-"", ""-"", ""-"", ""2025"", ""45/22"", ""19/4"", ""18/11"", ""8/6"", ""0/1"", ""-"", ""2024"", ""46/30"", ""18/10"", ""13/12"", ""3/4"", ""12/3"", ""0/1"", ""2023"", ""33/30"", ""16/11"", ""10/10"", ""0/3"", ""7/4"", ""0/2"", ""2022"", ""44/30""]",Musetti - Ruud
1,0,1.26,3.88,ok,3199588,https://www.tennisexplorer.com/match-detail/?id=3199588,Jodar,Tien,Jodar Rafael,Tien Learner,1.71,1.09,6.52,2.0,1.73,1.09,2.0,6.3,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Jodar - Tien"", ""Today"", "", 12:30,"", ""Rome"", "", round of 16, clay"", ""Jodar Rafael"", ""Tien Learner"", ""34."", ""Singles ranking"", ""21."", ""17. 9. 2006"", ""Birthdate"", ""2. 12. 2005"", ""-"", ""Height"", ""-"", ""-"", ""Weight"", ""-"", ""right"", ""Plays"", ""left"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Jodar"", ""Career - Tien"", ""Surface"", ""Jodar Rafael"", ""Tien Learner"", ""Indoors"", ""2/1"", ""0/1"", ""Clay"", ""14/2"", ""3/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""16/6"", ""11/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""81/31"", ""24/10"", ""40/17"", ""17/4"", ""-"", ""-"", ""2026"", ""32/9"", ""14/2"", ""16/6"", ""2/1"", ""-"", ""-"", ""2025"", ""41/13"", ""3/1"", ""23/9"", ""15/3"", ""-"", ""-"", ""2024"", ""6/5"", ""6/4"", ""0/1"", ""-"", ""-"", ""-"", ""2023"", ""1/3"", ""0/2"", ""1/1"", ""-"", ""-"", ""-"", ""2022"", ""1/1""]",Jodar - Tien
0,1,4.58,1.2,ok,3199556,https://www.tennisexplorer.com/match-detail/?id=3199556,Darderi,Zverev,Darderi Luciano,Zverev Alexander,7.66,2.19,1.61,1.06,7.46,2.19,1.06,1.61,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Darderi - Zverev"", ""Today"", "", 14:00,"", ""Rome"", "", round of 16, clay"", ""Darderi Luciano"", ""Zverev Alexander"", ""20."", ""Singles ranking"", ""3."", ""14. 2. 2002"", ""Birthdate"", ""20. 4. 1997"", ""-"", ""Height"", ""198 cm"", ""-"", ""Weight"", ""90 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Darderi"", ""Career - Zverev"", ""Surface"", ""Darderi Luciano"", ""Zverev Alexander"", ""Indoors"", ""-"", ""-"", ""Clay"", ""13/6"", ""13/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""4/4"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""250/163"", ""209/110"", ""34/34"", ""1/9"", ""6/10"", ""-"", ""2026"", ""16/10"", ""12/6"", ""4/4"", ""-"", ""-"", ""-"", ""2025"", ""40/32"", ""31/12"", ""6/11"", ""0/4"", ""3/5"", ""-"", ""2024"", ""41/31"", ""37/15"", ""1/9"", ""1/4"", ""2/3"", ""-"", ""2023"", ""54/33"", ""51/29"", ""3/3"", ""-"", ""0/1"", ""-"", ""2022"", ""38/26""]",Darderi - Zverev
1,0,1.01,20.88,nulled:set_odds_player1_wins_set,3201182,https://www.tennisexplorer.com/match-detail/?id=3201182,Sinner,Pellegrino,Sinner Jannik,Pellegrino Andrea,1.06,,46.2,6.83,1.07,,6.83,,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Sinner - Pellegrino"", ""Today"", "", 15:00,"", ""Rome"", "", round of 16, clay"", ""Sinner Jannik"", ""Pellegrino Andrea"", ""1."", ""Singles ranking"", ""155."", ""16. 8. 2001"", ""Birthdate"", ""23. 3. 1997"", ""188 cm"", ""Height"", ""185 cm"", ""76 kg"", ""Weight"", ""81 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""beIN Sports 1 (Aus), Sky Sports Tennis (Gbr/Irl), Sky Sports+ (UK/Irl)"", ""W/L - 2026"", ""Career - Sinner"", ""Career - Pellegrino"", ""Surface"", ""Sinner Jannik"", ""Pellegrino Andrea"", ""Indoors"", ""0/1"", ""-"", ""Clay"", ""13/0"", ""17/10"", ""Grass"", ""-"", ""-"", ""Hard"", ""19/2"", ""0/1"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""452/137"", ""114/45"", ""183/51"", ""111/27"", ""32/13"", ""12/1"", ""2026"", ""32/3"", ""13/0"", ""19/2"", ""0/1"", ""-"", ""-"", ""2025"", ""61/6"", ""11/2"", ""24/3"", ""18/0"", ""8/1"", ""-"", ""2024"", ""78/6"", ""11/2"", ""42/3"", ""13/0"", ""9/1"", ""3/0"", ""2023"", ""64/15"", ""8/3"", ""28/7"", ""17/2"", ""8/3"", ""3/0""]",Sinner - Pellegrino
4,3,1.3,3.54,ok,3200498,https://www.tennisexplorer.com/match-detail/?id=3200498,Rublev,Basilashvili,Rublev Andrey,Basilashvili Nikoloz,1.81,1.1,6.07,1.89,1.82,1.1,1.89,6.08,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Rublev - Basilashvili"", ""Today"", "", 15:30,"", ""Rome"", "", round of 16, clay"", ""Rublev Andrey"", ""Basilashvili Nikoloz"", ""14."", ""Singles ranking"", ""117."", ""20. 10. 1997"", ""Birthdate"", ""23. 2. 1992"", ""188 cm"", ""Height"", ""185 cm"", ""70 kg"", ""Weight"", ""79 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Rublev"", ""Career - Basilashvili"", ""Surface"", ""Rublev Andrey"", ""Basilashvili Nikoloz"", ""Indoors"", ""-"", ""1/3"", ""Clay"", ""7/3"", ""10/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""11/7"", ""5/7"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""563/306"", ""147/80"", ""228/123"", ""141/81"", ""35/17"", ""12/5"", ""2026"", ""18/10"", ""7/3"", ""11/7"", ""-"", ""-"", ""-"", ""2025"", ""41/26"", ""8/6"", ""19/14"", ""8/4"", ""6/2"", ""-"", ""2024"", ""52/28"", ""11/6"", ""27/13"", ""12/7"", ""2/2"", ""-"", ""2023"", ""59/27"", ""19/5"", ""23/12"", ""7/8"", ""10/2"", ""-"", ""2022"", ""53/22""]",Rublev - Basilashvili
1,0,1.57,2.39,ok,3201184,https://www.tennisexplorer.com/match-detail/?id=3201184,Medjedovic,Landaluce,Medjedovic Hamad,Landaluce Martin,2.35,1.21,3.91,1.52,2.36,1.21,1.52,3.9,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Medjedovic - Landaluce"", ""Today"", "", 17:00,"", ""Rome"", "", round of 16, clay"", ""Medjedovic Hamad"", ""Landaluce Martin"", ""67."", ""Singles ranking"", ""94."", ""18. 7. 2003"", ""Birthdate"", ""8. 1. 2006"", ""-"", ""Height"", ""-"", ""-"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Medjedovic"", ""Career - Landaluce"", ""Surface"", ""Medjedovic Hamad"", ""Landaluce Martin"", ""Indoors"", ""2/3"", ""2/4"", ""Clay"", ""13/2"", ""7/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""4/2"", ""10/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""196/121"", ""102/53"", ""43/31"", ""39/29"", ""9/7"", ""3/1"", ""2026"", ""19/7"", ""13/2"", ""4/2"", ""2/3"", ""-"", ""-"", ""2025"", ""28/21"", ""6/5"", ""6/6"", ""12/6"", ""2/3"", ""2/1"", ""2024"", ""35/21"", ""15/8"", ""9/6"", ""9/5"", ""2/2"", ""-"", ""2023"", ""48/23"", ""22/9"", ""10/5"", ""10/7"", ""5/2"", ""1/0"", ""2022"", ""46/24"", ""28/6"", ""12/10""]",Medjedovic - Landaluce
,,2.31,1.6,ok,3201424,https://www.tennisexplorer.com/match-detail/?id=3201424,Tirante,Medvedev,Tirante Thiago Agustin,Medvedev Daniil,3.89,1.49,2.44,1.23,3.76,1.49,1.23,2.46,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""12.05. 02:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Tirante - Medvedev"", ""Today"", "", 20:30,"", ""Rome"", "", round of 16, clay"", ""Tirante Thiago Agustin"", ""Medvedev Daniil"", ""69."", ""Singles ranking"", ""9."", ""10. 4. 2001"", ""Birthdate"", ""11. 2. 1996"", ""185 cm"", ""Height"", ""198 cm"", ""78 kg"", ""Weight"", ""83 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""beIN Sports 1 (Aus), Sky Sports Tennis (Gbr/Irl), Sky Sports+ (UK/Irl)"", ""W/L - 2026"", ""Career - Tirante"", ""Career - Medvedev"", ""Surface"", ""Tirante Thiago Agustin"", ""Medvedev Daniil"", ""Indoors"", ""-"", ""0/1"", ""Clay"", ""11/4"", ""4/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/6"", ""20/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""287/206"", ""206/150"", ""69/43"", ""8/7"", ""3/5"", ""1/1"", ""2026"", ""19/11"", ""11/4"", ""7/6"", ""-"", ""-"", ""1/1"", ""2025"", ""51/33"", ""36/22"", ""14/7"", ""1/3"", ""0/1"", ""-"", ""2024"", ""36/32"", ""27/24"", ""1/3"", ""7/4"", ""1/1"", ""-"", ""2023"", ""43/31"", ""29/19"", ""13/10"", ""-"", ""1/2"", ""-"", ""2022"", ""28/31""]",Tirante - Medvedev
