h2h_player1_wins,h2h_player2_wins,homeaway_avg_odds1,homeaway_avg_odds2,market_odds_check,match_id,match_url,player1,player2,set_odds_handicap_player1,set_odds_handicap_player2,set_odds_player1_wins_2_0,set_odds_player1_wins_set,set_odds_player2_wins_2_0,set_odds_player2_wins_set,set_odds_table_player1_minus_1_5,set_odds_table_player1_plus_1_5,set_odds_table_player2_minus_1_5,set_odds_table_player2_plus_1_5,set_odds_validation,source_lines_sample,title
1,2,2.94,1.34,ok,3190106,https://www.tennisexplorer.com/match-detail/?id=3190106,Cobolli,Zverev,Cobolli Flavio,Zverev Alexander,5.45,1.74,1.98,1.11,5.7,1.74,1.11,1.98,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""29.04. 03:20,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Cobolli - Zverev"", ""Today"", "", 13:00,"", ""Madrid"", "", quarterfinal, clay"", ""Cobolli Flavio"", ""Zverev Alexander"", ""13."", ""Singles ranking"", ""3."", ""6. 5. 2002"", ""Birthdate"", ""20. 4. 1997"", ""-"", ""Height"", ""198 cm"", ""71 kg"", ""Weight"", ""90 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bwin"", "","", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Cobolli"", ""Career - Zverev"", ""Surface"", ""Cobolli Flavio"", ""Zverev Alexander"", ""Indoors"", ""0/2"", ""-"", ""Clay"", ""8/2"", ""9/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""10/5"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""265/193"", ""156/97"", ""70/48"", ""26/38"", ""9/9"", ""4/1"", ""2026"", ""18/9"", ""8/2"", ""10/5"", ""0/2"", ""-"", ""-"", ""2025"", ""39/31"", ""15/6"", ""9/13"", ""6/9"", ""6/3"", ""3/0"", ""2024"", ""44/29"", ""11/9"", ""26/13"", ""3/2"", ""3/4"", ""1/1"", ""2023"", ""57/36"", ""44/23"", ""10/6"", ""3/6"", ""0/1"", ""-"", ""2022"", ""37/35""]",Cobolli - Zverev
,,1.34,3.23,ok,3190054,https://www.tennisexplorer.com/match-detail/?id=3190054,Ruud,Blockx,Ruud Casper,Blockx Alexander,1.92,1.11,5.53,1.81,1.9,1.11,1.81,5.58,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""29.04. 03:20,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Ruud - Blockx"", ""Today"", "", 13:00,"", ""Madrid"", "", quarterfinal, clay"", ""Ruud Casper"", ""Blockx Alexander"", ""15."", ""Singles ranking"", ""69."", ""22. 12. 1998"", ""Birthdate"", ""8. 4. 2005"", ""183 cm"", ""Height"", ""-"", ""77 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bwin"", "","", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Ruud"", ""Career - Blockx"", ""Surface"", ""Ruud Casper"", ""Blockx Alexander"", ""Indoors"", ""-"", ""4/2"", ""Clay"", ""5/1"", ""9/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""9/7"", ""11/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""474/260"", ""258/114"", ""130/87"", ""61/45"", ""6/9"", ""19/5"", ""2026"", ""14/8"", ""5/1"", ""9/7"", ""-"", ""-"", ""-"", ""2025"", ""42/17"", ""14/5"", ""15/9"", ""11/3"", ""-"", ""2/0"", ""2024"", ""54/27"", ""24/7"", ""21/10"", ""6/8"", ""1/1"", ""2/1"", ""2023"", ""39/23"", ""22/8"", ""12/12"", ""4/2"", ""1/1"", ""-"", ""2022"", ""53/24""]",Ruud - Blockx
,,1.12,6.34,ok,3189730,https://www.tennisexplorer.com/match-detail/?id=3189730,Sinner,Jodar,Sinner Jannik,Jodar Rafael,1.41,1.03,10.92,2.64,1.42,1.03,2.64,9.47,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""29.04. 03:20,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Sinner - Jodar"", ""Today"", "", 16:00,"", ""Madrid"", "", quarterfinal, clay"", ""Sinner Jannik"", ""Jodar Rafael"", ""1."", ""Singles ranking"", ""42."", ""16. 8. 2001"", ""Birthdate"", ""17. 9. 2006"", ""188 cm"", ""Height"", ""-"", ""76 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Sinner"", ""Career - Jodar"", ""Surface"", ""Sinner Jannik"", ""Jodar Rafael"", ""Indoors"", ""0/1"", ""2/1"", ""Clay"", ""8/0"", ""12/1"", ""Grass"", ""-"", ""-"", ""Hard"", ""19/2"", ""16/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""447/137"", ""109/45"", ""183/51"", ""111/27"", ""32/13"", ""12/1"", ""2026"", ""27/3"", ""8/0"", ""19/2"", ""0/1"", ""-"", ""-"", ""2025"", ""61/6"", ""11/2"", ""24/3"", ""18/0"", ""8/1"", ""-"", ""2024"", ""78/6"", ""11/2"", ""42/3"", ""13/0"", ""9/1"", ""3/0"", ""2023"", ""64/15"", ""8/3"", ""28/7"", ""17/2"", ""8/3"", ""3/0""]",Sinner - Jodar
2,2,1.57,2.39,ok,3189072,https://www.tennisexplorer.com/match-detail/?id=3189072,Fils,Lehecka,Fils Arthur,Lehecka Jiri,2.39,1.21,3.91,1.52,2.39,1.21,1.52,3.86,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""29.04. 03:20,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Fils - Lehecka"", ""Today"", "", 21:30,"", ""Madrid"", "", quarterfinal, clay"", ""Fils Arthur"", ""Lehecka Jiri"", ""25."", ""Singles ranking"", ""14."", ""12. 6. 2004"", ""Birthdate"", ""8. 11. 2001"", ""-"", ""Height"", ""183 cm"", ""-"", ""Weight"", ""80 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Fils"", ""Career - Lehecka"", ""Surface"", ""Fils Arthur"", ""Lehecka Jiri"", ""Indoors"", ""2/2"", ""-"", ""Clay"", ""8/0"", ""5/1"", ""Grass"", ""-"", ""-"", ""Hard"", ""11/3"", ""10/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""205/125"", ""98/55"", ""44/25"", ""51/37"", ""10/5"", ""2/3"", ""2026"", ""21/5"", ""8/0"", ""11/3"", ""2/2"", ""-"", ""-"", ""2025"", ""22/11"", ""10/4"", ""10/6"", ""1/1"", ""-"", ""1/0"", ""2024"", ""42/28"", ""14/10"", ""15/9"", ""6/4"", ""6/3"", ""1/2"", ""2023"", ""43/25"", ""13/8"", ""5/4"", ""21/10"", ""4/2"", ""0/1""]",Fils - Lehecka
