calendar_start_date,category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
22.04.2026,masters_1000,Spain,men,1,2,3190106,https://www.tennisexplorer.com/match-detail/?id=3190106,2.94,1.34,Cobolli,Zverev,"8,235,540 €",QF,QF,10,2,https://www.tennisexplorer.com/madrid/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,Madrid,2026
22.04.2026,masters_1000,Spain,men,0,0,3190054,https://www.tennisexplorer.com/match-detail/?id=3190054,1.34,3.23,Ruud,Blockx,"8,235,540 €",QF,QF,12,,https://www.tennisexplorer.com/madrid/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,Madrid,2026
22.04.2026,masters_1000,Spain,men,0,0,3189730,https://www.tennisexplorer.com/match-detail/?id=3189730,1.12,6.34,Sinner,Jodar,"8,235,540 €",QF,QF,1,,https://www.tennisexplorer.com/madrid/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,Madrid,2026
22.04.2026,masters_1000,Spain,men,2,2,3189072,https://www.tennisexplorer.com/match-detail/?id=3189072,1.57,2.39,Fils,Lehecka,"8,235,540 €",QF,QF,21,11,https://www.tennisexplorer.com/madrid/2026/atp-men/,"today , 21:30",upcoming,clay,atp-men,Madrid,2026
