descripcion,model,target,test_accuracy,test_brier_score,test_log_loss,test_positive_rate,test_roc_auc,test_rows,train_accuracy,train_brier_score,train_log_loss,train_positive_rate,train_roc_auc,train_rows
Gana jugador 1,regresion_logistica,gana_jugador_1,0.6285714285714286,0.21296750419079738,0.6199223295270327,0.32857142857142857,0.7086031452358927,70,0.6672504378283712,0.21244403825982736,0.6120310118800454,0.5122591943957968,0.721603489048133,3426
Jugador 1 gana 2-0,regresion_logistica,jugador_1_gana_2_0,0.6857142857142857,0.18511147597353955,0.5471011978314385,0.2714285714285714,0.7007223942208463,70,0.7621132516053707,0.15600133068154667,0.4598051457878701,0.24897840046701694,0.766853368167675,3426
Jugador 2 gana 2-0,regresion_logistica,jugador_2_gana_2_0,0.5857142857142857,0.24245471375773775,0.6777691393926073,0.42857142857142855,0.6291666666666667,70,0.7699941622883829,0.15393803042625387,0.4562993446491337,0.2434325744308231,0.7671682098765431,3426
