category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
grand_slam,France,men,0,0,3212433,https://www.tennisexplorer.com/match-detail/?id=3212433,1.08,8.1,De Minaur,Samuel,"61,723,000 €",1R,1R,8,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,2,1,3212423,https://www.tennisexplorer.com/match-detail/?id=3212423,1.35,3.22,Rinderknech,Rodionov,"61,723,000 €",1R,1R,22,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211753,https://www.tennisexplorer.com/match-detail/?id=3211753,1.79,2.01,Van Assche,Kypson,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,3,3211731,https://www.tennisexplorer.com/match-detail/?id=3211731,2.58,1.5,Fucsovics,Berrettini,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,1,3211697,https://www.tennisexplorer.com/match-detail/?id=3211697,4.03,1.24,Carreno-Busta,Lehecka,"61,723,000 €",1R,1R,,12,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211691,https://www.tennisexplorer.com/match-detail/?id=3211691,2.27,1.63,Shevchenko,Michelsen,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3213119,https://www.tennisexplorer.com/match-detail/?id=3213119,2.43,1.56,Wawrinka,De Jong,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,2,1,3211755,https://www.tennisexplorer.com/match-detail/?id=3211755,3.86,1.26,Bautista-Agut,Nakashima,"61,723,000 €",1R,1R,,31,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211741,https://www.tennisexplorer.com/match-detail/?id=3211741,8.65,1.07,Spizzirri,Tiafoe,"61,723,000 €",1R,1R,,19,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,1,3211739,https://www.tennisexplorer.com/match-detail/?id=3211739,2.07,1.75,Munar,Hurkacz,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,1,3211719,https://www.tennisexplorer.com/match-detail/?id=3211719,3.43,1.31,Kokkinakis,Atmane,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211717,https://www.tennisexplorer.com/match-detail/?id=3211717,7.2,1.1,Kovacevic,Jodar,"61,723,000 €",1R,1R,,27,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,0,3212439,https://www.tennisexplorer.com/match-detail/?id=3212439,1.13,6.06,Ruud,Safiullin,"61,723,000 €",1R,1R,15,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3212437,https://www.tennisexplorer.com/match-detail/?id=3212437,1.87,1.91,Nava,Ugo Carabelli,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211681,https://www.tennisexplorer.com/match-detail/?id=3211681,1.16,5.23,Navone,Brooksby,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211709,https://www.tennisexplorer.com/match-detail/?id=3211709,3.0,1.39,Buse,Rublev,"61,723,000 €",1R,1R,,11,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 14:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,1,3211689,https://www.tennisexplorer.com/match-detail/?id=3211689,11.4,1.04,Hijikata,Paul,"61,723,000 €",1R,1R,,24,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 14:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,3,3211703,https://www.tennisexplorer.com/match-detail/?id=3211703,1.14,5.68,Humbert,Mannarino,"61,723,000 €",1R,1R,32,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 15:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,3,2,3212429,https://www.tennisexplorer.com/match-detail/?id=3212429,1.34,3.23,Cobolli,Pellegrino,"61,723,000 €",1R,1R,10,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,3,1,3211767,https://www.tennisexplorer.com/match-detail/?id=3211767,1.16,5.28,Cerundolo,Van De Zandschulp,"61,723,000 €",1R,1R,25,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211763,https://www.tennisexplorer.com/match-detail/?id=3211763,2.07,1.75,Wu,Giron,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211749,https://www.tennisexplorer.com/match-detail/?id=3211749,3.78,1.27,Merida Aguilar,Shelton,"61,723,000 €",1R,1R,,5,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,1,3211747,https://www.tennisexplorer.com/match-detail/?id=3211747,1.07,8.96,Collignon,Vukic,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211769,https://www.tennisexplorer.com/match-detail/?id=3211769,1.91,1.88,Gaston,Monfils,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"today , 20:15",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3212431,https://www.tennisexplorer.com/match-detail/?id=3212431,1.43,2.78,Diaz Acosta,Zhang,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3212427,https://www.tennisexplorer.com/match-detail/?id=3212427,6.19,1.12,Faurel,Vacherot,"61,723,000 €",1R,1R,,16,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3212425,https://www.tennisexplorer.com/match-detail/?id=3212425,1.63,2.26,Faria,Shapovalov,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 16:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3212421,https://www.tennisexplorer.com/match-detail/?id=3212421,1.35,3.16,Landaluce,Prado Angelo,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 12:30",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,1,3211773,https://www.tennisexplorer.com/match-detail/?id=3211773,12.92,1.03,Walton,Medvedev,"61,723,000 €",1R,1R,,6,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211771,https://www.tennisexplorer.com/match-detail/?id=3211771,1.1,6.91,Popyrin,Svajda,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,0,3211765,https://www.tennisexplorer.com/match-detail/?id=3211765,2.36,1.58,Garin,Tien,"61,723,000 €",1R,1R,,18,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 14:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,1,0,3211761,https://www.tennisexplorer.com/match-detail/?id=3211761,1.23,4.15,Tabilo,Majchrzak,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 11:00",upcoming,clay,atp-men,French Open,2026
grand_slam,France,men,0,0,3211759,https://www.tennisexplorer.com/match-detail/?id=3211759,1.32,3.41,Cilic,Kouame,"61,723,000 €",1R,1R,,,https://www.tennisexplorer.com/french-open/2026/atp-men/,"tomorrow , 11:00",upcoming,clay,atp-men,French Open,2026
