descripcion,model,target,test_accuracy,test_brier_score,test_log_loss,test_positive_rate,test_roc_auc,test_rows,train_accuracy,train_brier_score,train_log_loss,train_positive_rate,train_roc_auc,train_rows
J1 gana partido,regresion_logistica_bo3,gana_jugador_1,0.6617647058823529,0.19816441112176414,0.5773818270886223,0.3235294117647059,0.7430830039525692,68,0.6574040219378428,0.2149987000901882,0.618198790066706,0.5093235831809872,0.7143611393137713,2735
J1 gana 2-0,regresion_logistica_bo3,jugador_1_gana_2_0,0.7205882352941176,0.1827012334467339,0.541797769929339,0.27941176470588236,0.7089151450053706,68,0.7020109689213894,0.19421240470282228,0.5695609884412909,0.31882998171846433,0.6972200062048487,2735
J2 gana 2-0,regresion_logistica_bo3,jugador_2_gana_2_0,0.5588235294117647,0.24074803577459947,0.6728010719389779,0.4411764705882353,0.6385964912280702,68,0.7148080438756855,0.19122044478176223,0.5643998847378596,0.3129798903107861,0.6993280378805589,2735
J1 gana al menos un set,regresion_logistica_bo3,jugador_1_gana_al_menos_un_set,0.5588235294117647,0.24074803577459936,0.6728010719389778,0.5588235294117647,0.6385964912280702,68,0.7148080438756855,0.19122044478176223,0.5643998847378595,0.6870201096892139,0.6993280378805589,2735
J2 gana al menos un set,regresion_logistica_bo3,jugador_2_gana_al_menos_un_set,0.7205882352941176,0.18270123344674669,0.541797769929368,0.7205882352941176,0.7089151450053706,68,0.7020109689213894,0.1942124047028222,0.5695609884412909,0.6811700182815357,0.6972200062048487,2735
Over 19.5 games,regresion_logistica_bo3,mas_19_5_games,0.5441176470588235,0.2652997912819612,0.7268178805611152,0.5441176470588235,0.4167393199651264,68,0.693235831809872,0.20905377486582466,0.6074241520381204,0.6928702010968921,0.5782076894082172,2735
