descripcion,model,target,test_accuracy,test_brier_score,test_log_loss,test_positive_rate,test_roc_auc,test_rows,train_accuracy,train_brier_score,train_log_loss,train_positive_rate,train_roc_auc,train_rows
Gana jugador 1,regresion_logistica,gana_jugador_1,0.7142857142857143,0.19823983922866242,0.5851103944308302,0.32857142857142857,0.7243293246993524,70,0.6926658905704307,0.19637780213561823,0.5739894903997025,0.5145518044237486,0.7666861985524702,859
Jugador 1 gana 2-0,regresion_logistica,jugador_1_gana_2_0,0.7142857142857143,0.18896284530008153,0.5562481914903172,0.2714285714285714,0.6728586171310629,70,0.7555296856810244,0.16126900000937028,0.47900458850995276,0.2759022118742724,0.7781011301504606,859
Jugador 2 gana 2-0,regresion_logistica,jugador_2_gana_2_0,0.6,0.23830561000990927,0.6658807111760553,0.42857142857142855,0.6633333333333333,70,0.770663562281723,0.15441302247275568,0.4614108451232155,0.25844004656577413,0.7819805676948534,859
