category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
masters_1000,Italy,men,0,1,3197564,https://www.tennisexplorer.com/match-detail/?id=3197564,2.33,1.6,Tirante,Norrie,"8,235,540 €",2R,2R,,17,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,2,3197520,https://www.tennisexplorer.com/match-detail/?id=3197520,2.27,1.63,Machac,Medvedev,"8,235,540 €",2R,2R,,7,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3197498,https://www.tennisexplorer.com/match-detail/?id=3197498,1.7,2.14,Moutet,Llamas Ruiz,"8,235,540 €",2R,2R,28,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,2,0,3197286,https://www.tennisexplorer.com/match-detail/?id=3197286,1.39,3.0,Rublev,Kecmanovic,"8,235,540 €",2R,2R,12,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3197680,https://www.tennisexplorer.com/match-detail/?id=3197680,1.56,2.42,Cilic,Landaluce,"8,235,540 €",2R,2R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,1,3197616,https://www.tennisexplorer.com/match-detail/?id=3197616,1.53,2.51,Auger Aliassime,Navone,"8,235,540 €",2R,2R,2,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3197438,https://www.tennisexplorer.com/match-detail/?id=3197438,1.31,3.42,Etcheverry,Bellucci,"8,235,540 €",2R,2R,24,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,2,3197540,https://www.tennisexplorer.com/match-detail/?id=3197540,2.31,1.6,Garin,Davidovich Fokina,"8,235,540 €",2R,2R,,21,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3197312,https://www.tennisexplorer.com/match-detail/?id=3197312,3.85,1.26,Basilashvili,Shelton,"8,235,540 €",2R,2R,,5,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,1,3197288,https://www.tennisexplorer.com/match-detail/?id=3197288,1.32,3.35,Cobolli,Atmane,"8,235,540 €",2R,2R,10,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3197618,https://www.tennisexplorer.com/match-detail/?id=3197618,2.52,1.52,Medjedovic,Fonseca,"8,235,540 €",2R,2R,,27,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 15:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3197614,https://www.tennisexplorer.com/match-detail/?id=3197614,2.36,1.58,Tiafoe,Buse,"8,235,540 €",2R,2R,20,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 15:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,2,3197500,https://www.tennisexplorer.com/match-detail/?id=3197500,1.51,2.53,Nakashima,Bautista-Agut,"8,235,540 €",2R,2R,30,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 15:30",upcoming,clay,atp-men,Rome,2026
